Date,Timestamp,Hour,Station,Temp
1/2/2023,00:01:00+08:00,00,S44,23.7
1/2/2023,00:02:00+08:00,00,S44,23.7
1/2/2023,00:03:00+08:00,00,S44,23.7
1/2/2023,00:04:00+08:00,00,S44,23.7
1/2/2023,00:05:00+08:00,00,S44,23.7
1/2/2023,00:06:00+08:00,00,S44,23.7
1/2/2023,00:07:00+08:00,00,S44,23.7
1/2/2023,00:08:00+08:00,00,S44,23.7
1/2/2023,00:09:00+08:00,00,S44,23.6
1/2/2023,00:10:00+08:00,00,S44,23.6
1/2/2023,00:11:00+08:00,00,S44,23.6
1/2/2023,00:12:00+08:00,00,S44,23.6
1/2/2023,00:13:00+08:00,00,S44,23.6
1/2/2023,00:14:00+08:00,00,S44,23.6
1/2/2023,00:15:00+08:00,00,S44,23.6
1/2/2023,00:16:00+08:00,00,S44,23.6
1/2/2023,00:17:00+08:00,00,S44,23.6
1/2/2023,00:18:00+08:00,00,S44,23.6
1/2/2023,00:19:00+08:00,00,S44,23.6
1/2/2023,00:20:00+08:00,00,S44,23.6
1/2/2023,00:21:00+08:00,00,S44,23.6
1/2/2023,00:22:00+08:00,00,S44,23.6
1/2/2023,00:23:00+08:00,00,S44,23.6
1/2/2023,00:24:00+08:00,00,S44,23.6
1/2/2023,00:25:00+08:00,00,S44,23.7
1/2/2023,00:26:00+08:00,00,S44,23.7
1/2/2023,00:27:00+08:00,00,S44,23.7
1/2/2023,00:28:00+08:00,00,S44,23.7
1/2/2023,00:29:00+08:00,00,S44,23.7
1/2/2023,00:30:00+08:00,00,S44,23.7
1/2/2023,00:31:00+08:00,00,S44,23.7
1/2/2023,00:32:00+08:00,00,S44,23.7
1/2/2023,00:33:00+08:00,00,S44,23.7
1/2/2023,00:34:00+08:00,00,S44,23.7
1/2/2023,00:35:00+08:00,00,S44,23.7
1/2/2023,00:36:00+08:00,00,S44,23.7
1/2/2023,00:37:00+08:00,00,S44,23.7
1/2/2023,00:38:00+08:00,00,S44,23.7
1/2/2023,00:39:00+08:00,00,S44,23.7
1/2/2023,00:40:00+08:00,00,S44,23.7
1/2/2023,00:41:00+08:00,00,S44,23.7
1/2/2023,00:42:00+08:00,00,S44,23.7
1/2/2023,00:43:00+08:00,00,S44,23.7
1/2/2023,00:44:00+08:00,00,S44,23.7
1/2/2023,00:45:00+08:00,00,S44,23.7
1/2/2023,00:46:00+08:00,00,S44,23.7
1/2/2023,00:47:00+08:00,00,S44,23.7
1/2/2023,00:48:00+08:00,00,S44,23.7
1/2/2023,00:49:00+08:00,00,S44,23.7
1/2/2023,00:50:00+08:00,00,S44,23.7
1/2/2023,00:51:00+08:00,00,S44,23.7
1/2/2023,00:52:00+08:00,00,S44,23.8
1/2/2023,00:53:00+08:00,00,S44,23.8
1/2/2023,00:54:00+08:00,00,S44,23.8
1/2/2023,00:55:00+08:00,00,S44,23.8
1/2/2023,00:56:00+08:00,00,S44,23.8
1/2/2023,00:57:00+08:00,00,S44,23.8
1/2/2023,00:58:00+08:00,00,S44,23.8
1/2/2023,00:59:00+08:00,00,S44,23.8
1/2/2023,01:00:00+08:00,01,S44,23.8
1/2/2023,01:01:00+08:00,01,S44,23.8
1/2/2023,01:02:00+08:00,01,S44,23.8
1/2/2023,01:03:00+08:00,01,S44,23.9
1/2/2023,01:04:00+08:00,01,S44,23.9
1/2/2023,01:05:00+08:00,01,S44,23.9
1/2/2023,01:06:00+08:00,01,S44,23.9
1/2/2023,01:07:00+08:00,01,S44,23.9
1/2/2023,01:08:00+08:00,01,S121,23.9
1/2/2023,01:09:00+08:00,01,S44,23.9
1/2/2023,01:10:00+08:00,01,S44,23.9
1/2/2023,01:11:00+08:00,01,S44,23.9
1/2/2023,01:12:00+08:00,01,S44,23.9
1/2/2023,01:13:00+08:00,01,S121,23.9
1/2/2023,01:14:00+08:00,01,S44,23.8
1/2/2023,01:15:00+08:00,01,S44,23.8
1/2/2023,01:16:00+08:00,01,S44,23.8
1/2/2023,01:17:00+08:00,01,S44,23.8
1/2/2023,01:18:00+08:00,01,S44,23.8
1/2/2023,01:19:00+08:00,01,S44,23.8
1/2/2023,01:20:00+08:00,01,S44,23.8
1/2/2023,01:21:00+08:00,01,S44,23.8
1/2/2023,01:22:00+08:00,01,S44,23.8
1/2/2023,01:23:00+08:00,01,S44,23.8
1/2/2023,01:24:00+08:00,01,S44,23.8
1/2/2023,01:25:00+08:00,01,S44,23.7
1/2/2023,01:26:00+08:00,01,S44,23.7
1/2/2023,01:27:00+08:00,01,S44,23.7
1/2/2023,01:28:00+08:00,01,S44,23.7
1/2/2023,01:29:00+08:00,01,S44,23.7
1/2/2023,01:30:00+08:00,01,S44,23.7
1/2/2023,01:31:00+08:00,01,S44,23.7
1/2/2023,01:32:00+08:00,01,S44,23.7
1/2/2023,01:33:00+08:00,01,S44,23.7
1/2/2023,01:34:00+08:00,01,S44,23.6
1/2/2023,01:35:00+08:00,01,S44,23.6
1/2/2023,01:36:00+08:00,01,S44,23.6
1/2/2023,01:37:00+08:00,01,S44,23.6
1/2/2023,01:38:00+08:00,01,S44,23.6
1/2/2023,01:39:00+08:00,01,S44,23.6
1/2/2023,01:40:00+08:00,01,S121,23.8
1/2/2023,01:41:00+08:00,01,S44,23.6
1/2/2023,01:42:00+08:00,01,S44,23.6
1/2/2023,01:43:00+08:00,01,S44,23.6
1/2/2023,01:44:00+08:00,01,S44,23.6
1/2/2023,01:45:00+08:00,01,S44,23.6
1/2/2023,01:46:00+08:00,01,S44,23.6
1/2/2023,01:47:00+08:00,01,S44,23.6
1/2/2023,01:48:00+08:00,01,S44,23.6
1/2/2023,01:49:00+08:00,01,S44,23.6
1/2/2023,01:50:00+08:00,01,S44,23.6
1/2/2023,01:51:00+08:00,01,S121,23.9
1/2/2023,01:52:00+08:00,01,S44,23.6
1/2/2023,01:53:00+08:00,01,S44,23.5
1/2/2023,01:54:00+08:00,01,S44,23.5
1/2/2023,01:55:00+08:00,01,S44,23.6
1/2/2023,01:56:00+08:00,01,S44,23.6
1/2/2023,01:57:00+08:00,01,S44,23.5
1/2/2023,01:58:00+08:00,01,S44,23.5
1/2/2023,01:59:00+08:00,01,S44,23.5
1/2/2023,02:00:00+08:00,02,S44,23.5
1/2/2023,02:01:00+08:00,02,S44,23.5
1/2/2023,02:02:00+08:00,02,S121,23.8
1/2/2023,02:03:00+08:00,02,S44,23.5
1/2/2023,02:04:00+08:00,02,S44,23.5
1/2/2023,02:05:00+08:00,02,S121,23.8
1/2/2023,02:06:00+08:00,02,S121,23.8
1/2/2023,02:07:00+08:00,02,S121,23.8
1/2/2023,02:08:00+08:00,02,S121,23.8
1/2/2023,02:09:00+08:00,02,S106,24.4
1/2/2023,02:10:00+08:00,02,S121,23.8
1/2/2023,02:11:00+08:00,02,S121,23.8
1/2/2023,02:12:00+08:00,02,S121,23.8
1/2/2023,02:13:00+08:00,02,S121,23.8
1/2/2023,02:14:00+08:00,02,S121,23.8
1/2/2023,02:15:00+08:00,02,S121,23.8
1/2/2023,02:16:00+08:00,02,S121,23.8
1/2/2023,02:17:00+08:00,02,S121,23.8
1/2/2023,02:18:00+08:00,02,S121,23.8
1/2/2023,02:19:00+08:00,02,S121,23.8
1/2/2023,02:20:00+08:00,02,S121,23.8
1/2/2023,02:21:00+08:00,02,S121,23.8
1/2/2023,02:22:00+08:00,02,S121,23.8
1/2/2023,02:23:00+08:00,02,S121,23.8
1/2/2023,02:24:00+08:00,02,S121,23.8
1/2/2023,02:25:00+08:00,02,S121,23.7
1/2/2023,02:26:00+08:00,02,S121,23.8
1/2/2023,02:27:00+08:00,02,S121,23.7
1/2/2023,02:28:00+08:00,02,S121,23.7
1/2/2023,02:29:00+08:00,02,S121,23.7
1/2/2023,02:30:00+08:00,02,S121,23.8
1/2/2023,02:31:00+08:00,02,S106,24.2
1/2/2023,02:32:00+08:00,02,S121,23.7
1/2/2023,02:33:00+08:00,02,S121,23.7
1/2/2023,02:34:00+08:00,02,S121,23.7
1/2/2023,02:35:00+08:00,02,S121,23.7
1/2/2023,02:36:00+08:00,02,S121,23.7
1/2/2023,02:37:00+08:00,02,S121,23.7
1/2/2023,02:38:00+08:00,02,S121,23.7
1/2/2023,02:39:00+08:00,02,S121,23.7
1/2/2023,02:40:00+08:00,02,S121,23.7
1/2/2023,02:41:00+08:00,02,S121,23.7
1/2/2023,02:42:00+08:00,02,S121,23.7
1/2/2023,02:43:00+08:00,02,S121,23.7
1/2/2023,02:44:00+08:00,02,S121,23.6
1/2/2023,02:45:00+08:00,02,S121,23.6
1/2/2023,02:46:00+08:00,02,S121,23.6
1/2/2023,02:47:00+08:00,02,S121,23.6
1/2/2023,02:48:00+08:00,02,S121,23.6
1/2/2023,02:49:00+08:00,02,S106,24.3
1/2/2023,02:50:00+08:00,02,S121,23.6
1/2/2023,02:51:00+08:00,02,S121,23.6
1/2/2023,02:52:00+08:00,02,S121,23.6
1/2/2023,02:53:00+08:00,02,S121,23.6
1/2/2023,02:54:00+08:00,02,S121,23.6
1/2/2023,02:55:00+08:00,02,S121,23.6
1/2/2023,02:56:00+08:00,02,S121,23.6
1/2/2023,02:57:00+08:00,02,S121,23.6
1/2/2023,02:58:00+08:00,02,S121,23.6
1/2/2023,02:59:00+08:00,02,S121,23.6
1/2/2023,03:00:00+08:00,03,S121,23.6
1/2/2023,03:01:00+08:00,03,S121,23.6
1/2/2023,03:02:00+08:00,03,S121,23.6
1/2/2023,03:03:00+08:00,03,S121,23.6
1/2/2023,03:04:00+08:00,03,S121,23.6
1/2/2023,03:05:00+08:00,03,S121,23.6
1/2/2023,03:06:00+08:00,03,S121,23.6
1/2/2023,03:07:00+08:00,03,S121,23.6
1/2/2023,03:08:00+08:00,03,S121,23.6
1/2/2023,03:09:00+08:00,03,S121,23.6
1/2/2023,03:10:00+08:00,03,S121,23.6
1/2/2023,03:11:00+08:00,03,S121,23.6
1/2/2023,03:12:00+08:00,03,S121,23.6
1/2/2023,03:13:00+08:00,03,S121,23.6
1/2/2023,03:14:00+08:00,03,S121,23.6
1/2/2023,03:15:00+08:00,03,S106,24
1/2/2023,03:16:00+08:00,03,S121,23.6
1/2/2023,03:17:00+08:00,03,S106,24
1/2/2023,03:18:00+08:00,03,S121,23.5
1/2/2023,03:19:00+08:00,03,S121,23.5
1/2/2023,03:20:00+08:00,03,S121,23.5
1/2/2023,03:21:00+08:00,03,S121,23.5
1/2/2023,03:23:00+08:00,03,S121,23.5
1/2/2023,03:24:00+08:00,03,S121,23.5
1/2/2023,03:25:00+08:00,03,S121,23.5
1/2/2023,03:26:00+08:00,03,S121,23.5
