,Movie,Rank,Released Year,Ratings,Director
108,Shershaah,109,2021,8.0,Vishnuvardhan
109,Lage Raho Munna Bhai,110,2006,8.0,Rajkumar Hirani
110,Iqbal,111,2005,8.0,Nagesh Kukunoor
111,Roja,112,1992,8.0,Mani Ratnam
112,Pink,113,2016,8.0,Aniruddha Roy Chowdhury
113,Anand,114,1971,8.0,Hrishikesh Mukherjee
114,Pithamagan,115,2003,8.0,Bala
115,Kaun Pravin Tambe?,116,2022,8.0,Jayprad Desai
116,Nil Battey Sannata,117,2015,8.0,Ashwiny Iyer Tiwari
117,Lucia,118,2013,8.0,Pawan Kumar
118,Charulata,119,1964,8.0,Satyajit Ray
119,Omkara,120,2006,8.0,Vishal Bhardwaj
120,Bajrangi Bhaijaan,121,2015,8.0,Kabir Khan
121,Section 375,122,2019,8.0,Ajay Bahl
122,Oru Vadakkan Veeragatha,123,1989,8.0,T. Hariharan
123,Alai Payuthey,124,2000,8.0,Mani Ratnam
124,Bommarillu,125,2006,8.0,Bommarillu Baskar
125,Bombay,126,1995,8.0,Mani Ratnam
126,K.G.F: Chapter 1,127,2018,8.0,Prashanth Neel
127,Indian,128,1996,8.0,S. Shankar
128,Rangasthalam,129,2018,7.9,Sukumar
129,Haider,130,2014,7.9,Vishal Bhardwaj
130,Dilwale Dulhania Le Jayenge,131,1995,7.9,Aditya Chopra
131,The Great Indian Kitchen,132,2021,7.9,Jeo Baby
132,Mughal-E-Azam,133,1960,7.9,K. Asif
133,Andaz Apna Apna,134,1994,7.9,Rajkumar Santoshi
134,Athadu,135,2005,7.9,Trivikram Srinivas
135,Maqbool,136,2003,7.9,Vishal Bhardwaj
136,Special Chabbis,137,2013,7.9,Neeraj Pandey
137,K.G.F: Chapter 2,138,2022,7.9,Prashanth Neel
138,Maanaadu,139,2021,7.9,Venkat Prabhu
139,Vaaranam Aayiram,140,2008,7.9,Gautham Vasudev Menon
140,Gulaal,141,2009,7.9,Anurag Kashyap
141,Padayappa,142,1999,7.9,K.S. Ravikumar
142,Thadam,143,2019,7.9,Magizh Thirumeni
143,Android Kunjappan Version 5.25,144,2019,7.9,Ratheesh Balakrishnan Poduval
144,Ulidavaru Kandanthe,145,2014,7.9,Rakshit Shetty
145,Pelli Choopulu,146,2016,7.9,Tharun Bhascker Dhaassyam
146,Deewaar,147,1975,7.9,Yash Chopra
147,Company,148,2002,7.9,Ram Gopal Varma
148,Vaastav: The Reality,149,1999,7.9,Mahesh Manjrekar
149,Ugly,150,2013,7.9,Anurag Kashyap
150,Badhaai ho,151,2018,7.9,Amit Ravindernath Sharma
151,Gully Boy,152,2019,7.9,Zoya Akhtar
152,Naduvula Konjam Pakkatha Kaanom,153,2012,7.9,Balaji Tharaneetharan
153,Padosan,154,1968,7.9,Jyoti Swaroop
154,Evaru,155,2019,7.9,Venkat Ramji
155,Kshanam,156,2016,7.9,Ravikanth Perepu
156,Aadukalam,157,2011,7.9,Vetrimaaran
157,Dev.D,158,2009,7.9,Anurag Kashyap
158,My Name Is Khan,159,2010,7.9,Karan Johar
159,Maanagaram,160,2017,7.8,Lokesh Kanagaraj
160,Nayattu,161,2021,7.8,Martin Prakkat
161,Thondimuthalum Dhriksakshiyum,162,2017,7.8,Dileesh Pothan
162,Kal Ho Naa Ho,163,2003,7.8,Nikkhil Advani
163,Pranchiyettan and the Saint,164,2010,7.8,Ranjith
164,Major,165,2022,7.8,Sashi Kiran Tikka
165,Baishe Srabon,166,2011,7.8,Srijit Mukherji
166,Take Off,167,2017,7.8,Mahesh Narayanan
167,Jab We Met,168,2007,7.8,Imtiaz Ali
168,Manjhi: The Mountain Man,169,2015,7.8,Ketan Mehta
